2018-05-14 03:54:54,118715
2018-05-14 03:54:55,320609
2018-05-14 03:54:56,291516
2018-05-14 03:54:57,150124
2018-05-14 03:54:58,235669
2018-05-14 03:54:59,421439
2018-05-14 03:55:00,189978
2018-05-14 03:55:01,236215
2018-05-14 03:55:02,471644
2018-05-14 03:55:03,167143
2018-05-14 03:55:04,235361
2018-05-14 03:55:05,116269
2018-05-14 04:02:23,234516
2018-05-14 04:02:24,228226
2018-05-14 04:02:25,235381
2018-05-14 04:02:26,301881
2018-05-14 04:02:27,50082
2018-05-14 04:02:28,470576
2018-05-14 04:02:29,235938
2018-05-14 04:02:30,421592
2018-05-14 04:02:31,213732
2018-05-14 04:02:32,235431
2018-05-14 04:02:33,86288
2018-05-14 04:08:09,157987
2018-05-14 04:08:10,236456
2018-05-14 04:08:11,274695
2018-05-14 04:08:12,193726
2018-05-14 04:08:13,471767
2018-05-14 04:08:14,326795
2018-05-14 04:08:15,158768
2018-05-14 04:08:16,264240
2018-05-14 04:08:17,174788
2018-05-14 04:08:18,235536
2018-05-14 04:08:19,222595
2018-05-14 04:08:19,222595
2018-05-14 04:08:21,141
2018-05-14 04:17:07,88761
2018-05-14 04:17:08,235485
2018-05-14 04:17:09,311055
2018-05-14 04:17:10,185253
2018-05-14 04:17:11,235549
2018-05-14 04:17:12,447948
2018-05-14 04:17:13,303996
2018-05-14 04:17:14,210577
2018-05-14 04:17:15,163976
2018-05-14 04:17:16,465540
2018-05-14 04:17:17,56562
2018-05-14 04:17:18,141
2018-05-14 13:07:06,243032
2018-05-14 13:07:07,133927
2018-05-14 13:07:08,235792
2018-05-14 13:07:09,471853
2018-05-14 13:07:10,97631
2018-05-14 13:07:11,235928
2018-05-14 13:07:12,307361
2018-05-14 13:07:13,228264
2018-05-14 13:07:14,235516
2018-05-14 13:07:15,328086
2018-05-14 13:07:16,235866
2018-05-14 13:07:17,750
2018-05-14 13:08:37,2077
2018-05-14 13:08:38,470730
2018-05-14 13:08:39,324277
2018-05-14 13:08:40,108082
2018-05-14 13:08:41,235115
2018-05-14 13:08:42,389851
2018-05-14 13:08:43,146729
2018-05-14 13:08:44,235249
2018-05-14 13:08:45,225511
2018-05-14 13:08:46,236393
2018-05-14 13:08:47,359296
2018-05-14 13:08:48,22351
2018-05-14 13:13:30,142612
2018-05-14 13:13:31,235986
2018-05-14 13:13:32,236133
2018-05-14 13:13:33,659195
2018-05-14 13:13:34,68225
2018-05-14 13:13:35,234790
2018-05-14 13:13:36,235260
2018-05-14 13:13:37,470961
2018-05-14 13:13:38,149563
2018-05-14 13:13:39,235099
2018-05-14 13:13:40,154961
2018-05-14 13:13:41,952
2018-05-14 13:15:16,235130
2018-05-14 13:15:17,235626
2018-05-14 13:15:18,278119
2018-05-14 13:15:19,235774
2018-05-14 13:15:20,236249
2018-05-14 13:15:21,406492
2018-05-14 13:15:22,235735
2018-05-14 13:15:23,146946
2018-05-14 13:15:24,471262
2018-05-14 13:15:25,232490
2018-05-14 13:15:26,228344
2018-05-14 13:15:27,141
