o,1,1592.0,1543577347.913663
o,2,918.0,1543577347.917124
o,3,1522.0,1543577347.9200084
o,1,0.0,1543577348.4189894
o,2,0.0,1543577348.4233267
o,3,0.0,1543577348.4265661
o,1,0.0,1543577348.9203382
o,2,0.0,1543577348.9259326
o,3,0.0,1543577348.9314985
o,1,0.0,1543577349.4227343
o,2,0.0,1543577349.4275753
o,3,0.0,1543577349.4307187
c,1,0.0,1543577349.921533
c,2,0.0,1543577349.924182
c,3,0.0,1543577349.9269092
o,1,0.0,1543577349.929757
o,2,0.0,1543577349.9337897
o,3,0.0,1543577349.9377503
p,1,0.0,1543577350.3612144
p,2,0.0,1543577350.3612573
p,3,0.0,1543577350.36127
c,1,0.0,1543577350.4276183
o,1,0.0,1543577350.431919
c,2,0.0,1543577350.4505022
c,3,0.0,1543577350.4539876
o,3,0.0,1543577350.456787
o,2,0.0,1543577350.4601474
o,2,0.0,1543577350.933749
o,1,0.0,1543577350.9378157
o,3,0.0,1543577350.9423969
p,1,0.0,1543577351.3673108
p,2,0.0,1543577351.3673375
p,3,0.0,1543577351.3673494
c,1,0.0,1543577351.4340208
o,1,0.0,1543577351.4652257
o,2,0.0,1543577351.4711242
o,3,0.0,1543577351.4753516
c,2,0.0,1543577351.479648
c,3,0.0,1543577351.4884632
o,2,67507.0,1543577351.9397883
o,3,101301.5,1543577351.944485
o,1,101318.5,1543577351.9503663
p,1,101318.5,1543577352.3728273
p,2,67507.0,1543577352.372849
p,3,101301.5,1543577352.3728583
o,2,116626.0,1543577352.4398563
o,1,174939.0,1543577352.4571147
o,3,174939.0,1543577352.4640045
o,1,171754.5,1543577352.9447846
o,3,171754.5,1543577352.952513
o,2,114503.0,1543577352.9580817
p,1,171754.5,1543577353.3768868
p,2,114503.0,1543577353.376915
p,3,171754.5,1543577353.376929
c,1,171754.5,1543577353.4392653
o,1,236313.0,1543577353.4873507
o,3,236313.0,1543577353.4962254
o,2,157542.0,1543577353.5047565
c,2,157542.0,1543577353.5265493
c,3,236313.0,1543577353.5710928
o,1,172399.5,1543577353.9515164
o,3,172399.5,1543577353.971004
o,2,114933.0,1543577353.9808972
p,1,172399.5,1543577354.380592
p,2,114933.0,1543577354.3806202
p,3,172399.5,1543577354.3806336
c,1,172399.5,1543577354.4465733
o,1,167556.0,1543577354.4724948
o,2,111704.0,1543577354.4879267
o,3,167556.0,1543577354.4908142
o,1,159028.5,1543577354.9691632
o,3,159028.5,1543577354.9790719
o,2,106019.0,1543577354.9832122
p,1,159028.5,1543577355.3862202
p,2,106019.0,1543577355.3862405
p,3,159028.5,1543577355.386251
o,3,130123.5,1543577355.482614
o,1,130123.5,1543577355.486867
o,2,86749.0,1543577355.49685
o,1,186160.5,1543577355.9435725
o,3,186160.5,1543577355.950043
o,2,124107.0,1543577355.9559596
c,2,124107.0,1543577356.013313
c,3,186160.5,1543577356.0438335
p,1,186160.5,1543577356.3563228
p,2,124107.0,1543577356.3563554
p,3,186160.5,1543577356.3563693
c,1,186160.5,1543577356.4378128
o,1,132066.0,1543577356.4454327
o,2,88044.0,1543577356.4505
o,3,132066.0,1543577356.4573936
o,1,138835.5,1543577356.944448
o,2,92557.0,1543577356.948208
o,3,138835.5,1543577356.9518678
p,1,138835.5,1543577357.3607597
p,2,92557.0,1543577357.3608868
p,3,138835.5,1543577357.3609054
o,1,193215.0,1543577357.455302
o,3,193215.0,1543577357.4599726
o,2,128810.0,1543577357.4671485
o,1,181989.0,1543577357.9528244
o,3,181989.0,1543577357.9578779
o,2,121326.0,1543577357.9632492
p,1,181989.0,1543577358.3662634
p,2,121326.0,1543577358.366284
p,3,181989.0,1543577358.3662927
o,1,182245.5,1543577358.4541655
o,3,182245.5,1543577358.4630044
o,2,121497.0,1543577358.4680831
c,2,121497.0,1543577358.5218406
c,3,182245.5,1543577358.54854
c,1,182245.5,1543577358.9442549
o,3,158560.5,1543577358.9550004
o,1,157357.5,1543577358.9595754
o,2,105707.0,1543577358.9674392
p,1,157357.5,1543577359.3695421
p,2,105707.0,1543577359.3695626
p,3,158560.5,1543577359.3695726
o,2,182999.0,1543577359.8729484
o,3,274498.5,1543577359.8794048
o,1,275701.5,1543577359.8837602
o,1,136642.5,1543577360.3635767
o,2,91095.0,1543577360.3670905
o,3,136642.5,1543577360.369618
p,1,136642.5,1543577360.4241126
p,2,91095.0,1543577360.4241395
p,3,136642.5,1543577360.424153
o,1,214855.5,1543577360.8651626
o,3,214855.5,1543577360.870383
o,2,143237.0,1543577360.8737838
c,2,143237.0,1543577361.0270138
c,3,214855.5,1543577361.0592635
o,1,174028.5,1543577361.3692179
o,3,174028.5,1543577361.3732836
o,2,116019.0,1543577361.3791037
p,1,174028.5,1543577361.4336512
p,2,116019.0,1543577361.433686
p,3,174028.5,1543577361.4336994
c,1,174028.5,1543577361.4590342
o,1,176485.5,1543577361.8692188
o,3,176485.5,1543577361.8758054
o,2,117657.0,1543577361.8790057
o,1,178870.5,1543577362.371987
o,2,119247.0,1543577362.3773239
o,3,178870.5,1543577362.3806686
p,1,178870.5,1543577362.4511127
p,2,119247.0,1543577362.451146
p,3,178870.5,1543577362.4511607
o,1,115030.5,1543577362.8725908
o,3,115030.5,1543577362.8786223
o,2,76687.0,1543577362.8833401
o,3,170139.0,1543577363.3768697
o,1,170139.0,1543577363.382763
o,2,113426.0,1543577363.3878045
p,1,170139.0,1543577363.4817297
p,2,113426.0,1543577363.4817646
p,3,170139.0,1543577363.481881
c,2,113426.0,1543577363.5324855
c,3,170139.0,1543577363.5787704
o,2,97448.0,1543577363.877007
o,1,146172.0,1543577363.881278
o,3,146172.0,1543577363.8866742
c,1,146172.0,1543577363.9690733
o,1,226854.0,1543577364.380297
o,3,226854.0,1543577364.3840768
o,2,151236.0,1543577364.386748
p,1,226854.0,1543577364.4868615
p,2,151236.0,1543577364.4868917
p,3,226854.0,1543577364.4869046
o,1,124327.5,1543577364.8810017
o,3,124327.5,1543577364.8854778
o,2,82885.0,1543577364.8886423
o,1,164838.0,1543577365.3815534
o,2,109892.0,1543577365.386346
o,3,164838.0,1543577365.388969
p,1,164838.0,1543577365.4913323
p,2,109892.0,1543577365.4913557
p,3,164838.0,1543577365.4913678
o,3,201795.0,1543577365.883581
o,1,201795.0,1543577365.8859482
o,2,134530.0,1543577365.8907402
c,2,134530.0,1543577366.0359032
c,3,201795.0,1543577366.0923927
o,1,210861.0,1543577366.3900354
o,3,210861.0,1543577366.3999774
o,2,140574.0,1543577366.403027
c,1,210861.0,1543577366.4778094
p,1,210861.0,1543577366.5249789
p,2,140574.0,1543577366.5250049
p,3,210861.0,1543577366.5250165
o,1,151828.5,1543577366.8902009
o,3,151828.5,1543577366.8961885
o,2,101219.0,1543577366.900099
o,3,160729.5,1543577367.3914628
o,2,107153.0,1543577367.394763
o,1,160729.5,1543577367.4010363
p,1,160729.5,1543577367.5325024
p,2,107153.0,1543577367.5325322
p,3,160729.5,1543577367.532545
o,2,126761.0,1543577367.8959959
o,1,184467.0,1543577367.8995159
o,3,190141.5,1543577367.9064794
o,3,172830.0,1543577368.3962026
o,1,178504.5,1543577368.4029188
o,2,115220.0,1543577368.4098265
p,1,178504.5,1543577368.5375054
p,2,115220.0,1543577368.537531
p,3,172830.0,1543577368.5375435
c,2,115220.0,1543577368.5402834
c,3,172830.0,1543577368.601576
o,3,131209.5,1543577368.8947597
o,1,131209.5,1543577368.8979783
o,2,87473.0,1543577368.9032545
c,1,131209.5,1543577368.9843347
o,3,155805.0,1543577369.3975022
o,1,155805.0,1543577369.4010763
o,2,103870.0,1543577369.4046347
p,1,155805.0,1543577369.541622
p,2,103870.0,1543577369.5416486
p,3,155805.0,1543577369.5416615
o,3,150780.0,1543577369.9060857
o,2,100520.0,1543577369.9109566
o,1,150780.0,1543577369.918691
o,2,105222.0,1543577370.4051971
o,3,157833.0,1543577370.4089537
o,1,157833.0,1543577370.4134626
p,1,157833.0,1543577370.429045
p,2,105222.0,1543577370.4290712
p,3,157833.0,1543577370.4290829
o,2,90080.0,1543577370.900854
o,1,135120.0,1543577370.9041355
o,3,135120.0,1543577370.9073358
